Data,Trocas_Oleo,Manutencao_Motor
2024-01-01,11.0,2.0
2024-01-02,21.0,13.0
2024-01-03,33.0,13.0
2024-01-04,25.0,14.0
2024-01-05,19.0,6.0
2024-01-06,31.0,14.0
2024-01-07,11.0,7.0
2024-01-08,12.0,8.0
2024-01-09,19.0,3.0
2024-01-10,4.0,2.0
2024-01-11,25.0,7.0
2024-01-12,28.0,8.0
2024-02-01,9.0,4.0
2024-02-02,31.0,12.0
2024-02-03,34.0,14.0
2024-02-04,20.0,7.0
2024-02-05,26.0,12.0
2024-02-06,34.0,14.0
2024-02-07,16.0,6.0
2024-02-08,24.0,7.0
2024-02-09,6.0,1.0
2024-02-10,8.0,4.0
2024-02-11,28.0,8.0
2024-02-12,12.0,7.0
2024-03-01,12.0,1.0
2024-03-02,28.0,13.0
2024-03-03,32.0,10.0
2024-03-04,21.0,7.0
2024-03-05,32.0,15.0
2024-03-06,19.0,11.0
2024-03-07,13.0,5.0
2024-03-08,27.0,7.0
2024-03-09,6.0,-2.0
2024-03-10,8.0,4.0
2024-03-11,23.0,9.0
2024-03-12,13.0,4.0
2024-04-01,15.0,8.0
2024-04-02,34.0,12.0
2024-04-03,17.0,4.0
2024-04-04,21.0,11.0
2024-04-05,38.0,14.0
2024-04-06,16.0,7.0
2024-04-07,16.0,7.0
2024-04-08,23.0,7.0
2024-04-09,5.0,-1.0
2024-04-10,20.0,10.0
2024-04-11,11.0,6.0
2024-04-12,16.0,7.0
2024-05-01,25.0,10.0
2024-05-02,13.0,5.0
2024-05-03,23.0,11.0
2024-05-04,33.0,16.0
2024-05-05,43.0,15.0
2024-05-06,24.0,8.0
2024-05-07,30.0,12.0
2024-05-08,9.0,3.0
2024-05-09,12.0,6.0
2024-05-10,22.0,7.0
2024-05-11,9.0,6.0
2024-05-12,13.0,5.0
2024-06-01,25.0,10.0
2024-06-02,17.0,10.0
2024-06-03,24.0,9.0
2024-06-04,38.0,14.0
2024-06-05,18.0,8.0
2024-06-06,19.0,8.0
2024-06-07,28.0,10.0
2024-06-08,8.0,3.0
2024-06-09,23.0,10.0
2024-06-10,21.0,11.0
2024-06-11,9.0,2.0
2024-06-12,27.0,11.0
2024-07-01,31.0,14.0
2024-07-02,11.0,3.0
2024-07-03,20.0,9.0
2024-07-04,38.0,14.0
2024-07-05,19.0,6.0
2024-07-06,29.0,13.0
2024-07-07,26.0,10.0
2024-07-08,10.0,3.0
2024-07-09,18.0,8.0
2024-07-10,8.0,3.0
2024-07-11,13.0,7.0
2024-07-12,31.0,12.0
2024-08-01,13.0,8.0
2024-08-02,13.0,8.0
2024-08-03,39.0,15.0
2024-08-04,22.0,8.0
2024-08-05,21.0,9.0
2024-08-06,35.0,15.0
2024-08-07,9.0,5.0
2024-08-08,16.0,7.0
2024-08-09,25.0,8.0
2024-08-10,9.0,7.0
2024-08-11,28.0,11.0
2024-08-12,31.0,9.0
2024-09-01,10.0,6.0
2024-09-02,33.0,14.0
2024-09-03,37.0,14.0
2024-09-04,21.0,5.0
2024-09-05,19.0,8.0
2024-09-06,30.0,13.0
2024-09-07,12.0,2.0
2024-09-08,19.0,5.0
2024-09-09,13.0,5.0
2024-09-10,12.0,3.0
2024-09-11,28.0,10.0
2024-09-12,14.0,7.0
2024-10-01,13.0,1.0
2024-10-02,34.0,12.0
2024-10-03,34.0,15.0
2024-10-05,31.0,9.0
2024-10-06,20.0,10.0
2024-10-07,16.0,6.0
2024-10-08,26.0,13.0
2024-10-09,10.0,3.0
2024-10-10,4.0,5.0
2024-10-11,29.0,13.0
2024-10-12,14.0,4.0
2024-11-01,10.0,1.0
2024-11-02,33.0,14.0
2024-11-03,22.0,7.0
2024-11-05,36.0,17.0
2024-11-06,21.0,10.0
2024-11-07,14.0,4.0
2024-11-08,19.0,7.0
2024-11-09,2.0,-1.0
2024-11-10,29.0,11.0
2024-11-11,11.0,5.0
2024-11-12,16.0,3.0
2024-12-01,25.0,8.0
2024-12-02,17.0,8.0
2024-12-03,26.0,10.0
2024-12-05,32.0,16.0
2024-12-06,15.0,8.0
2024-12-07,24.0,11.0
2024-12-08,8.0,5.0
2024-12-09,5.0,5.0
2024-12-10,17.0,5.0
2024-12-11,13.0,2.0
2024-12-12,12.0,3.0
2025-01-01,20.0,4.0
2025-01-02,45.0,17.0
2025-01-03,49.0,18.0
2025-01-04,32.0,12.0
2025-01-05,30.0,12.0
2025-01-06,41.0,16.0
2025-01-07,24.0,9.0
2025-01-08,31.0,13.0
2025-01-09,22.0,9.0
2025-01-10,13.0,4.0
2025-01-11,38.0,16.0
2025-01-12,22.0,10.0
2025-02-01,20.0,9.0
2025-02-02,40.0,16.0
2025-02-03,42.0,21.0
2025-02-04,29.0,12.0
2025-02-05,43.0,15.0
2025-02-06,29.0,8.0
2025-02-07,26.0,9.0
2025-02-08,39.0,15.0
2025-02-09,19.0,7.0
2025-02-10,16.0,9.0
2025-02-11,28.0,13.0
2025-02-12,27.0,12.0
2025-03-01,35.0,14.0
2025-03-02,30.0,12.0
2025-03-03,32.0,14.0
2025-03-04,30.0,10.0
2025-03-05,51.0,22.0
2025-03-06,31.0,13.0
2025-03-07,22.0,9.0
2025-03-08,36.0,16.0
2025-03-09,17.0,7.0
2025-03-10,37.0,12.0
2025-03-11,18.0,8.0
2025-03-12,22.0,7.0
2025-04-01,33.0,15.0
2025-04-02,21.0,9.0
2025-04-03,33.0,12.0
2025-04-04,43.0,17.0
2025-04-05,49.0,17.0
2025-04-06,23.0,10.0
2025-04-07,39.0,15.0
2025-04-08,19.0,10.0
2025-04-09,18.0,9.0
2025-04-10,31.0,9.0
2025-04-11,19.0,9.0
2025-04-12,20.0,7.0
2025-05-01,36.0,8.0
2025-05-02,24.0,12.0
